Task,Resource,Duration
Graduate Recruitment,Resource 2,5.806568995783585
Graduate Recruitment,Resource 3,4.7690951397860895
C-Suite Recruitment,Resource 2,5.2198622398545425
C-Suite Recruitment,Resource 4,3.6349935609986392
Graduate Recruitment,Resource 4,6.971919911239536
C-Suite Recruitment,Resource 3,1.0
Graduate Recruitment,Resource 4,7.648022956275345
C-Suite Recruitment,Resource 2,4.920665843943482
Graduate Recruitment,Resource 2,2.3596093688974697
Experienced Recruitment,Resource 4,8.222354373982276
Experienced Recruitment,Resource 2,3.852249868644109
Graduate Recruitment,Resource 3,10.179300831507758
Experienced Recruitment,Resource 3,2.969037916067322
Graduate Recruitment,Resource 3,5.617335454676579
C-Suite Recruitment,Resource 1,6.3946643184846925
Experienced Recruitment,Resource 2,4.354578370771003
Graduate Recruitment,Resource 2,2.920151857332906
Graduate Recruitment,Resource 3,5.2480698257121485
C-Suite Recruitment,Resource 4,6.747480995798506
Graduate Recruitment,Resource 1,8.199910658337805
Graduate Recruitment,Resource 4,5.706126950379686
Graduate Recruitment,Resource 4,8.772325774561065
C-Suite Recruitment,Resource 3,3.2248720069929577
Experienced Recruitment,Resource 4,9.129302452425478
C-Suite Recruitment,Resource 4,6.969595031762081
Experienced Recruitment,Resource 3,8.367496018554826
C-Suite Recruitment,Resource 1,4.647936502784498
Experienced Recruitment,Resource 3,2.774816979719309
Graduate Recruitment,Resource 1,3.98441524063443
Graduate Recruitment,Resource 3,3.591873677309418
C-Suite Recruitment,Resource 2,3.8960855942354735
Experienced Recruitment,Resource 3,9.006193811121083
Graduate Recruitment,Resource 3,8.331049946608381
C-Suite Recruitment,Resource 1,1.0
C-Suite Recruitment,Resource 3,2.650004013333563
C-Suite Recruitment,Resource 2,2.3945757149561935
Graduate Recruitment,Resource 4,5.3279422338275495
Experienced Recruitment,Resource 1,11.337427968676717
Experienced Recruitment,Resource 3,2.3036365973929476
C-Suite Recruitment,Resource 1,6.826119394202829
Graduate Recruitment,Resource 4,5.975157392539174
Graduate Recruitment,Resource 3,6.384485790880817
C-Suite Recruitment,Resource 2,4.904489335254278
Experienced Recruitment,Resource 2,4.504203248768753
Experienced Recruitment,Resource 3,1.0
C-Suite Recruitment,Resource 1,4.850416844049113
Experienced Recruitment,Resource 1,4.108192484529633
Experienced Recruitment,Resource 4,11.169346548343636
C-Suite Recruitment,Resource 3,5.201394622991447
Experienced Recruitment,Resource 2,9.888499738700364
Graduate Recruitment,Resource 3,6.737864613940317
Experienced Recruitment,Resource 2,7.496030028299485
Graduate Recruitment,Resource 3,7.53406867514365
Graduate Recruitment,Resource 3,7.183490659830663
Experienced Recruitment,Resource 1,7.18583027249891
C-Suite Recruitment,Resource 4,3.96933855123693
Graduate Recruitment,Resource 1,8.919772453089768
C-Suite Recruitment,Resource 1,2.431210857582177
Graduate Recruitment,Resource 1,8.440732093926686
C-Suite Recruitment,Resource 2,8.45222162928588
Experienced Recruitment,Resource 1,7.602955483506902
Graduate Recruitment,Resource 4,6.443771086053859
Graduate Recruitment,Resource 4,9.000581114132714
Graduate Recruitment,Resource 1,6.111604129234976
Experienced Recruitment,Resource 3,9.24110724892871
Experienced Recruitment,Resource 2,20.888411375333895
C-Suite Recruitment,Resource 3,2.440708888431585
Experienced Recruitment,Resource 3,9.053074760723995
C-Suite Recruitment,Resource 2,8.605348909031864
C-Suite Recruitment,Resource 3,2.094662296463056
C-Suite Recruitment,Resource 3,5.656408315901952
C-Suite Recruitment,Resource 4,6.274928380816314
C-Suite Recruitment,Resource 2,5.784620081484777
Graduate Recruitment,Resource 2,10.654975046269008
Experienced Recruitment,Resource 2,1.0
Experienced Recruitment,Resource 3,8.071281167948968
Graduate Recruitment,Resource 2,7.574940646037665
C-Suite Recruitment,Resource 4,4.754111380207604
C-Suite Recruitment,Resource 3,3.440173128049214
Graduate Recruitment,Resource 3,6.101345295425251
C-Suite Recruitment,Resource 1,6.7068236947986835
C-Suite Recruitment,Resource 2,6.737887254890081
Experienced Recruitment,Resource 3,1.8063509428520916
Experienced Recruitment,Resource 1,2.8479944378812307
C-Suite Recruitment,Resource 2,2.953907617179197
Experienced Recruitment,Resource 2,5.4312298639735
Experienced Recruitment,Resource 4,7.009053784270306
Graduate Recruitment,Resource 4,5.896953923802807
C-Suite Recruitment,Resource 3,4.227867113011161
C-Suite Recruitment,Resource 4,1.0
Experienced Recruitment,Resource 4,4.334358689283551
C-Suite Recruitment,Resource 4,8.022360128962319
C-Suite Recruitment,Resource 3,9.90687054067788
C-Suite Recruitment,Resource 2,10.46396871968579
C-Suite Recruitment,Resource 4,8.819072617247645
Graduate Recruitment,Resource 1,9.256046450892082
C-Suite Recruitment,Resource 2,5.5902714425340445
Experienced Recruitment,Resource 4,4.066523798479302
C-Suite Recruitment,Resource 4,1.0
C-Suite Recruitment,Resource 3,9.75203275563359
Graduate Recruitment,Resource 4,9.261767944576757
C-Suite Recruitment,Resource 3,4.589919348751437
Graduate Recruitment,Resource 3,6.480344326721092
Experienced Recruitment,Resource 2,7.360090411076838
C-Suite Recruitment,Resource 2,5.739157676377814
C-Suite Recruitment,Resource 4,8.478825664142622
Experienced Recruitment,Resource 4,1.0
C-Suite Recruitment,Resource 1,4.5407249331056345
C-Suite Recruitment,Resource 1,3.965207550396033
C-Suite Recruitment,Resource 4,7.456291423211409
Experienced Recruitment,Resource 1,5.524354767700866
C-Suite Recruitment,Resource 2,6.835935640635153
Experienced Recruitment,Resource 3,7.695305642340615
Experienced Recruitment,Resource 4,10.15272794213643
C-Suite Recruitment,Resource 2,2.849389302409569
Graduate Recruitment,Resource 4,6.298653411981112
C-Suite Recruitment,Resource 1,11.786017308304313
Graduate Recruitment,Resource 1,9.296744977240744
C-Suite Recruitment,Resource 4,9.973244977078698
Experienced Recruitment,Resource 3,9.273738134430833
Graduate Recruitment,Resource 4,6.735068928030633
C-Suite Recruitment,Resource 4,8.667553281559696
Experienced Recruitment,Resource 3,1.0
Experienced Recruitment,Resource 3,6.0275847576034085
Experienced Recruitment,Resource 4,7.9655138988550185
Graduate Recruitment,Resource 1,6.002183056687323
Experienced Recruitment,Resource 3,14.990295458987356
C-Suite Recruitment,Resource 4,1.9175642785658353
Experienced Recruitment,Resource 1,13.135029320445227
Graduate Recruitment,Resource 3,5.237275114566215
C-Suite Recruitment,Resource 3,7.457135881055292
Graduate Recruitment,Resource 1,7.189774162792303
C-Suite Recruitment,Resource 3,7.26931971020216
C-Suite Recruitment,Resource 3,8.077466218574653
Graduate Recruitment,Resource 3,3.6496804359476114
Graduate Recruitment,Resource 3,8.608764914881398
Experienced Recruitment,Resource 2,9.379710386607329
Experienced Recruitment,Resource 3,4.173105822058689
C-Suite Recruitment,Resource 3,3.5467688468155893
Experienced Recruitment,Resource 2,10.382209713849438
Experienced Recruitment,Resource 1,8.093917871030047
C-Suite Recruitment,Resource 2,3.657275245312651
Experienced Recruitment,Resource 3,9.565402726108827
C-Suite Recruitment,Resource 1,8.251967448739217
C-Suite Recruitment,Resource 1,8.190689950644918
Graduate Recruitment,Resource 2,5.964127996616516
C-Suite Recruitment,Resource 3,4.669642589322533
C-Suite Recruitment,Resource 4,6.088562789483172
C-Suite Recruitment,Resource 2,3.995114170248918
Graduate Recruitment,Resource 3,7.272113694780231
Experienced Recruitment,Resource 4,1.59756340809105
Experienced Recruitment,Resource 4,2.3065532809410083
Experienced Recruitment,Resource 3,9.414232650984276
Graduate Recruitment,Resource 3,4.148718428181388
Graduate Recruitment,Resource 3,9.421711854569558
Experienced Recruitment,Resource 3,1.0
C-Suite Recruitment,Resource 2,8.133204234167845
Graduate Recruitment,Resource 2,3.5457807835968214
C-Suite Recruitment,Resource 3,5.7297344979531815
Graduate Recruitment,Resource 3,3.692237479902777
Graduate Recruitment,Resource 3,8.461817904644807
Graduate Recruitment,Resource 2,8.279333545438462
Graduate Recruitment,Resource 3,11.74179151989346
Experienced Recruitment,Resource 4,7.093440890514121
Experienced Recruitment,Resource 2,1.6561467274587525
C-Suite Recruitment,Resource 3,4.890071397849622
Graduate Recruitment,Resource 2,5.52153347437426
Experienced Recruitment,Resource 3,7.9075477239082215
C-Suite Recruitment,Resource 4,7.797228539393856
Graduate Recruitment,Resource 3,5.8802666026905825
Graduate Recruitment,Resource 4,6.425522266647069
Graduate Recruitment,Resource 4,5.064929354554209
C-Suite Recruitment,Resource 2,8.971124053824614
Experienced Recruitment,Resource 1,8.896699738909735
C-Suite Recruitment,Resource 2,11.553252257593211
Experienced Recruitment,Resource 1,14.63714320444518
Experienced Recruitment,Resource 4,11.202063044648161
C-Suite Recruitment,Resource 2,1.0
Graduate Recruitment,Resource 1,5.728791347698542
Graduate Recruitment,Resource 4,9.078386652641349
Experienced Recruitment,Resource 1,3.894280801321159
Graduate Recruitment,Resource 2,9.662986860277476
Graduate Recruitment,Resource 1,6.8477608859573404
Graduate Recruitment,Resource 2,5.909515951833847
C-Suite Recruitment,Resource 3,12.490178676757772
Experienced Recruitment,Resource 1,2.011557261687363
Experienced Recruitment,Resource 4,13.002588228126617
C-Suite Recruitment,Resource 1,5.082569297742728
Graduate Recruitment,Resource 2,10.659687457699214
Experienced Recruitment,Resource 2,2.88820195700583
C-Suite Recruitment,Resource 3,1.0
C-Suite Recruitment,Resource 3,4.818297475705727
C-Suite Recruitment,Resource 4,1.0
Experienced Recruitment,Resource 4,2.4695329632285636
C-Suite Recruitment,Resource 2,5.513081437637041
Graduate Recruitment,Resource 1,6.178067092857258
Experienced Recruitment,Resource 2,4.429606152625448
C-Suite Recruitment,Resource 2,7.029807067706898
Graduate Recruitment,Resource 4,8.341749784015388
Graduate Recruitment,Resource 1,5.14712486418745
Experienced Recruitment,Resource 4,9.725273374225054
Graduate Recruitment,Resource 2,3.3899472925328586
Graduate Recruitment,Resource 1,5.76634778304908
Experienced Recruitment,Resource 3,5.158293228424605
Experienced Recruitment,Resource 4,1.8907850479139459
Experienced Recruitment,Resource 3,9.44282409510631
C-Suite Recruitment,Resource 4,3.4242765710182606
Graduate Recruitment,Resource 4,7.4618131290623
C-Suite Recruitment,Resource 4,5.784840148320705
Experienced Recruitment,Resource 4,8.368039981952604
Graduate Recruitment,Resource 2,6.6253246337224
Experienced Recruitment,Resource 1,2.732529089531688
Experienced Recruitment,Resource 4,14.189490113938017
Graduate Recruitment,Resource 3,7.831035685447984
Experienced Recruitment,Resource 4,8.311843341475445
Experienced Recruitment,Resource 2,3.7371697951814022
C-Suite Recruitment,Resource 1,1.0
Graduate Recruitment,Resource 1,5.817182358416292
Experienced Recruitment,Resource 4,2.113326172472064
Graduate Recruitment,Resource 4,3.3553080894002223
Graduate Recruitment,Resource 2,5.1080248096880645
C-Suite Recruitment,Resource 4,3.801893444616135
Graduate Recruitment,Resource 2,6.654005945218116
Experienced Recruitment,Resource 3,1.0
C-Suite Recruitment,Resource 3,11.316817271984302
Graduate Recruitment,Resource 2,4.99114517079802
Experienced Recruitment,Resource 3,13.674482563781265
C-Suite Recruitment,Resource 4,2.0602420844966702
Experienced Recruitment,Resource 3,1.0
